"Code","Entity","region","continent","pop","per_cap_beef_kg_co2eq","per_cap_pork_kg_co2eq","per_cap_sheep_goat_kg_co2eq","per_cap_poultry_kg_co2eq","total_beef_kg_co2eq","total_pork_kg_co2eq","total_sheep_goat_kg_co2eq","total_poultry_kg_co2eq","impute_flag_per_cap_beef_kg_co2eq","impute_flag_per_cap_pork_kg_co2eq","impute_flag_per_cap_sheep_goat_kg_co2eq","impute_flag_per_cap_poultry_kg_co2eq","impute_per_cap_poultry_kg_co2eq"
"BLR","Belarus","Eastern Europe","Europe",9578172,1224.23140083,473.93490152,4.3691992056,311.99063091,11725898924.9507,4539430003.56162,41848941.4935002,2988299925.2445,"","","","",""
"BLZ","Belize","Central America","Americas",400037,351.86082573,288.1720529,3.5747376396,272.60464266,140757349.142552,115279483.525957,1430027.32113267,109051943.435778,"","","","",""
"BOL","Bolivia","South America","Americas",12079474,1426.72056888,117.92975076,123.926348364,418.29046182,17234034017.0512,1424529358.1319,1496965102.97788,5052728758.00268,"","","","",""
"BRA","Brazil","South America","Americas",214326224,2301.0774,154.4905,26.6124,499.7181,493181230273.738,33111365508.872,5703735203.5776,107102693437.454,"","","","",""
"BRB","Barbados","Caribbean","Americas",281204,880.98288507,170.86038724,154.905807456,545.5072014,247735911.213224,48046624.333437,43560132.679857,153398807.062486,"","","","",""
"BRN","Brunei","Southeast Asia","Asia",445382,239.667880083,89.2475,10.7243992056,120.11788026,106743759.767127,39749230.045,4776454.36698854,53498341.7459593,"*","*","*","*","*"
"BTN","Bhutan","South Asia","Asia",777500,357.17361909,30.036013466,25.023278268,50.33634858,277702488.842475,23353000.469815,19455598.85337,39136511.02095,"","","","",""
"BWA","Botswana","Southern Africa","Africa",2588424,823.23473859,5.1701917523,80.23428084,38.49294078,2130880555.00008,13382648.4162554,207680338.148996,99636051.7455307,"","","","",""
"CAF","Central African Republic","Central Africa","Africa",5457165,1255.43144772,43.331079362,192.24428364,26.254127949,6851096556.39691,236464849.706529,1049108776.13028,143273108.148805,"","","","",""
"CAN","Canada","North America","Americas",38155012,1721.4927,226.6271,43.2948,403.2882,65683574626.4124,8646959720.0252,1651913613.5376,15387466110.4584,"","","","",""
"CHE","Switzerland","Central Europe","Europe",8691409,1311.86653278,347.51133693,52.827607944,173.81072961,11401968589.8029,3020363161.39543,459146347.132953,1510660139.62892,"","","","",""
"CHL","Chile","South America","Americas",19493184,2212.7793639,320.55251079,14.696403972,366.47322831,43134115291.9057,6248589074.49146,286479706.764527,7143730070.52084,"","","","",""
"CHN","China","East Asia","Asia",1425893504,501.2445,413.9853,151.3332,170.4549,714721276465.728,590298950021.491,215785026819.533,243050534634.97,"","","","",""
"CIV","Cote d'Ivoire","West Africa","Africa",27478250,97.5933,25.851,27.0096,25.8594,2681693095.725,710340240.75,742176541.2,710571058.05,"","","","",""
"CMR","Cameroon","West Africa","Africa",27198632,278.1741,23.019698769,61.168792056,40.7631,7565954977.8312,626104315.568884,1663707465.01567,1108700556.0792,"","","","",""
"COD","Democratic Republic of Congo","Central Africa","Africa",95894120,19.917,8.1246,9.1356,8.7843,1909923188.04,779101367.352,876050322.672,842362718.316,"","","","",""
"COG","Congo","Central Africa","Africa",5835814,167.966587137,108.57412614,11.5187912616,256.02763221,980221760.746325,633618405.365578,67221523.3075229,1494129640.43797,"","","","",""
"COK","Cook Islands","Oceania Islands","Oceania",17028,462.024162687,175.7757302325,36.541844913,307.780093845,7867347.44223424,2993109.13439901,622234.535178564,5240879.43799266,"*","*","*","*","*"
"COL","Colombia","South America","Americas",51516560,914.8542,149.4434,0.7944,343.8708,47130141285.552,7698809882.704,40924755.264,17715040700.448,"","","","",""
"COM","Comoros","Africa Islands","Africa",821632,248.29800249,2.0926948298,23.037542406,280.01122884,204009584.381864,1719425.03839823,18928382.0421266,230066185.974267,"","","","",""
"CPV","Cape Verde","Africa Islands","Africa",587936,133.440261828,138.23752083,87.381624744,226.31293125,78454333.778107,81274815.0467069,51374802.9254884,133057519.5474,"","","","",""
"CRI","Costa Rica","Central America","Americas",5153959,863.73409917,196.83693693,0,327.38795922,4451650134.02411,1014489502.62281,0,1687344118.91355,"","","","",""
"CUB","Cuba","Caribbean","Americas",11256373,272.86283361,116.45256307,26.215194042,324.82162104,3071445832.9511,1310833486.72195,295088002.40413,3656313324.89089,"","","","",""
"CYP","Cyprus","Southern Europe","Europe",1244193,477.342931536,463.5934921,155.70202266,261.85046832,593906734.01657,576799777.716375,193723366.679413,325792519.730466,"","","","",""
"CZE","Czechia","Central Europe","Europe",10510748,731.61793278,577.9546231,11.1216023832,230.85932961,7689851723.73152,6074735398.83908,116896360.006015,2426504236.97965,"","","","",""
"DEU","Germany","Central Europe","Europe",83408560,932.11546722,532.5304769,28.2011944392,174.00807039,77746408874.5474,44417600234.3423,2352221018.45368,14513762579.6085,"","","","",""
"DJI","Djibouti","East Africa","Africa",1105562,380.4140361,2.092696307,163.24892196,41.552624988,420571302.578788,2313605.51455953,180481804.659942,45939003.1869833,"","","","",""
"DMA","Dominica","Caribbean","Americas",72435,598.63119432,179.91009605,42.882800328,561.40922229,43361850.5605692,13031787.8073818,3106215.64175868,40665677.0165761,"","","","",""
"DNK","Denmark","Northern Europe","Europe",5854246,1570.78587303,324.12196763,28.995572196,188.71422234,9195766914.04239,1897489732.51006,169747212.546144,1104779481.27706,"","","","",""
"DOM","Dominican Republic","Caribbean","Americas",11117873,412.945693776,144.76556307,6.7523984112,348.9044013,4591077779.29846,1609485144.98575,75072307.9811234,3879074822.79443,"","","","",""
"DZA","Algeria","North Africa","Africa",44177964,234.356726556,0.12310001231,324.90963972,57.640805922,10353403028.9488,5438307.91223074,14353846366.8031,2546453448.9531,"","","","",""
"ECU","Ecuador","South America","Americas",17797736,863.73409917,156.21392462,15.888003972,244.28255922,15372511471.2255,2780254189.91066,282770500.260607,4347676498.40193,"","","","",""
"EGY","Egypt","North Africa","Africa",109262184,415.601386722,0.1231,25.4208,210.6258,45409515186.6743,13450174.8504,2777532127.0272,23013434914.7472,"","","","",""
"ERI","Eritrea","East Africa","Africa",3620324,280.1658,8.2476995076,60.771596028,17.272498026,1014290969.7192,29859344.4721525,220012867.618473,62532039.1434804,"*","*","*","*","*"
"ESP","Spain","Southern Europe","Europe",47486932,841.16123361,661.66245076,69.907196028,301.33109013,39944166301.4742,31420319806.1935,3319678264.09231,14309288986.4892,"","","","",""
"EST","Estonia","Northern Europe","Europe",1328704,639.33377469,496.2146228,14.6963551164,210.52645845,849485343.765702,659322354.172851,19527105.8285811,279727347.448349,"","","","",""
"ETH","Ethiopia","East Africa","Africa",120283024,228.381619917,0.24620001231,85.795211916,5.428500987,27470431869.6354,29613681.989484,10319707533.9773,652956514.503345,"","","","",""
"FIN","Finland","Northern Europe","Europe",5535982,1276.68155892,379.39475395,17.476825818,225.03633558,7067686129.91306,2100322528.76163,96751393.1455833,1245797103.11684,"","","","",""
"FJI","Fiji","Oceania Islands","Oceania",924615,237.011012034,39.514885806,212.50084812,318.60185301,219143936.891817,36536056.1395147,196481471.684474,294584052.320841,"","","","",""
"FRA","France","Western Europe","Europe",64531448,1527.63376722,412.13875076,95.327996028,262.24588026,98580419012.4015,26595910363.4539,6151653618.62509,16923106385.2124,"","","","",""
"FSM","Micronesia (country)","Oceania Islands","Oceania",113143,514.463366427,250.11045615,5.163006186,416.07137985,58207928.6676501,28298247.3401795,584158.008902598,47075564.1303685,"","","","",""
"GAB","Gabon","Central Africa","Africa",2341185,286.804175934,114.9751538,23.831948364,379.50068079,671461634.634042,269178105.449253,55795000.0305713,888481301.355336,"","","","",""
"GBR","United Kingdom","Western Europe","Europe",67281040,1195.02,311.6892,144.5808,336.9618,80402188420.8,20970773532.768,9727546588.032,22671140344.272,"","","","",""
"GEO","Georgia","West Asia","Asia",3757984,420.912168465,139.22595228,43.294752336,183.58181247,1581781194.49677,523208901.053004,162700986.562651,689897513.95326,"","","","",""
"GHA","Ghana","West Africa","Africa",32833036,105.560086722,18.711196307,71.098788084,134.92288026,3465858127.50655,614345381.950798,2334389068.71834,4429927784.80027,"","","","",""
"GIN","Guinea","West Africa","Africa",13531909,512.530819917,7.7553006155,81.823207944,56.851206909,6935520414.81223,104944022.19659,1107224203.98629,769305358.432759,"","","","",""
"GMB","Gambia","West Africa","Africa",2639922,270.20710083,2.7081977842,19.065584112,110.44521117,713325670.037335,7149430.91086083,50331654.9401193,291566742.762329,"","","","",""
"GNB","Guinea-Bissau","West Africa","Africa",2060730,242.986218258,85.18478146,43.294589484,29.807253924,500728989.550808,175542834.698066,89218459.3873633,61424702.3788045,"","","","",""
