,,
,,
Argentina,7.9,12.65822785
Australia,7.9,12.65822785
Austria,5.7,17.54385965
Belgium,5.6,17.85714286
Brazil,7.6,13.15789474
Bulgaria,5.9,16.94915254
Canada,8.9,11.23595506
Chile,8,12.5
China,7.6,13.15789474
Croatia,5.2,19.23076923
Cyprus,5.6,17.85714286
Czech Republic,5.9,16.94915254
Denmark,5.2,19.23076923
Egypt,9.8,10.20408163
Estonia,6.4,15.625
Finland,5.8,17.24137931
France,5.3,18.86792453
Germany,5.9,16.94915254
Greece,5.1,19.60784314
Hungary,6.1,16.39344262
Iceland,5.6,17.85714286
India,5.6,17.85714286
Indonesia,7.9,12.65822785
Ireland,5.2,19.23076923
Italy,5.2,19.23076923
Japan,6.2,16.12903226
Korea,6.3,15.87301587
Latvia,6,16.66666667
Lithuania,6,16.66666667
Luxembourg,5.8,17.24137931
Macedonia,6.2,16.12903226
Malaysia,7.1,14.08450704
Malta,5.2,19.23076923
Mexico,7.6,13.15789474
Netherlands,5.4,18.51851852
Norway,5.8,17.24137931
Peru,8.1,12.34567901
Philippines,8.4,11.9047619
Poland,6,16.66666667
Portugal,4.9,20.40816327
Romania,5.6,17.85714286
Russia,8.2,12.19512195
Slovakia,6,16.66666667
Slovenia,5.7,17.54385965
South Africa,7.4,13.51351351
Spain,5.4,18.51851852
Sweden,5.9,16.94915254
Switzerland,6.4,15.625
Thailand,7.5,13.33333333
Turkey,5.4,18.51851852
Ukraine,6.8,14.70588235
United Kingdom,5.8,17.24137931
United States,8.6,11.62790698
