Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
Dominican Republic,DOM,2019,15.64,27.65,72.43
East Timor,TLS,2019,15.64,27.65,86.34
Eastern and South-Eastern Asia (UN),,2019,15.89,38.65,68.41
Ecuador,ECU,2019,15.64,27.65,72.43
Egypt,EGY,2019,15.64,27.65,91.02
El Salvador,SLV,2019,15.64,27.65,80.08
Equatorial Guinea,GNQ,2019,15.64,27.65,91.94
Eritrea,ERI,2019,15.64,27.65,102.69
Estonia,EST,2019,4.71,16.61,77.5
Eswatini,SWZ,2019,15.64,27.65,99.59
Ethiopia,ETH,2019,15.64,27.65,92.14
Europe (UN),,2019,11.97,24.51,66.11
Europe and Northern America (UN),,2019,13.09,35.94,64.38
Faroe Islands,FRO,2019,12.82,25.58,76.22
Fiji,FJI,2019,15.64,27.65,75.72
Finland,FIN,2019,12.81,23.31,65.42
France,FRA,2019,25.6,24.48,84.79
French Polynesia,PYF,2019,12.81,25.57,78.69
Gabon,GAB,2019,15.64,27.65,91.94
Gambia,GMB,2019,15.64,27.65,102.69
Georgia,GEO,2019,15.64,27.65,100.97
Germany,DEU,2019,5.97,20.58,75
Ghana,GHA,2019,15.64,27.65,84.01
Gibraltar,GIB,2019,12.81,25.57,84.26
Greece,GRC,2019,7.38,25.57,141.69
Greenland,GRL,2019,12.82,25.59,73.74
Grenada,GRD,2019,15.64,27.65,72.43
Guam,GUM,2019,12.81,25.57,78.69
Guatemala,GTM,2019,15.64,27.65,72.43
Guinea,GIN,2019,15.64,27.65,102.69
Guinea-Bissau,GNB,2019,15.64,27.65,102.69
Guyana,GUY,2019,15.64,27.65,72.43
Haiti,HTI,2019,15.64,27.65,83.19
Honduras,HND,2019,15.64,27.65,80.08
Hong Kong,HKG,2019,12.81,25.57,71.41
Hungary,HUN,2019,12.81,25.57,93.83
Iceland,ISL,2019,12.81,25.57,76.18
India,IND,2019,15.64,27.65,50.32
Indonesia,IDN,2019,15.64,27.65,77.37
Iran,IRN,2019,15.64,27.65,70.98
Iraq,IRQ,2019,15.64,27.65,120.44
Ireland,IRL,2019,12.81,56.15,54.7
Isle of Man,IMN,2019,12.81,25.57,76.2
Israel,ISR,2019,51.41,27.44,99.58
Italy,ITA,2019,3.63,25.57,67.05
Jamaica,JAM,2019,15.64,27.65,72.43
Japan,JPN,2019,8.63,14.75,64.32
Jordan,JOR,2019,15.64,27.65,93.04
Kazakhstan,KAZ,2019,15.64,27.65,75.71
Kenya,KEN,2019,10.96,31.14,99.24
Kiribati,KIR,2019,15.64,27.65,91.01
Kuwait,KWT,2019,12.81,25.57,94.53
Kyrgyzstan,KGZ,2019,15.64,27.65,91.02
Laos,LAO,2019,15.64,27.65,86.34
Latin America and the Caribbean (UN),,2019,15.47,27.55,72.85
Latvia,LVA,2019,12.81,25.57,76.18
Least Developed Countries (LDCs),,2019,15.66,23.51,93.66
Lebanon,LBN,2019,15.64,27.65,104.66
Lesotho,LSO,2019,15.64,27.65,99.59
Liberia,LBR,2019,15.64,27.65,102.69
Libya,LBY,2019,15.64,27.65,75.71
Liechtenstein,LIE,2019,12.8,25.56,71.64
Lithuania,LTU,2019,12.81,25.57,76.18
Luxembourg,LUX,2019,7.2,20.9,89.25
Macao,MAC,2019,12.81,25.57,71.4
Madagascar,MDG,2019,15.64,27.65,102.69
Malawi,MWI,2019,15.64,27.65,102.69
Malaysia,MYS,2019,78.82,89.56,91.44
Maldives,MDV,2019,15.64,27.65,70.98
Mali,MLI,2019,15.64,27.65,102.69
Malta,MLT,2019,12.81,25.57,129.01
Marshall Islands,MHL,2019,15.64,27.65,75.72
Mauritania,MRT,2019,15.64,27.65,99.59
Mauritius,MUS,2019,12.81,25.57,93.43
Mexico,MEX,2019,15.64,27.65,93.9
Micronesia (country),FSM,2019,15.64,27.65,91.01
Moldova,MDA,2019,15.64,27.65,76.03
Monaco,MCO,2019,12.82,25.59,71.74
Mongolia,MNG,2019,15.64,27.65,77.57
Montenegro,MNE,2019,15.64,27.65,82.79
Morocco,MAR,2019,15.64,27.65,91.02
Mozambique,MOZ,2019,15.64,27.65,102.69
Myanmar,MMR,2019,15.64,27.65,86.34
Namibia,NAM,2019,15.64,27.65,91.94
Nauru,NRU,2019,12.85,25.66,78.95
