Year,Car and vans emissions,Net Zero Scenario
2010,3.14,
2011,3.13,
2012,3.17,
2013,3.27,
2014,3.31,
2015,3.42,
2016,3.50,
2017,3.55,
2018,3.59,
2019,3.61,
2020,3.20,
2021,3.48,
2022,3.53,
2023,,
2024,,
2025,,
2026,,
2027,,
2028,,
2029,,
2030,,2.06
