"VARIABLE","Variable","TRANSPORT_MODE","Transport mode","SCENARIO","Scenario","COUNTRY_GROUP","Country group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,469.415127016263,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,482.368433761657,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,551.375264956326,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,611.653826057851,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,104.530796262874,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,104.24479713252,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,114.947696923258,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,112.839532413393,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,106.182587301007,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,107.023720824715,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,130.819928148406,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,895.503606263339,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,842.745089492791,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,930.106081241756,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,826.747263855591,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,770.362928802623,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,726.807972077939,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,627.577831094116,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,19.6563308575628,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,11.4868451775434,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,25.712097970878,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,28.423377741046,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,28.3318083268134,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,31.4585856742972,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,28.4712812988726,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,598.438921843085,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,616.622726436996,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,686.995486699625,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,759.366082548926,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,786.036314160138,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,846.031673155726,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,1011.96910588122,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,2600.37741232838,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,2306.93281591457,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,2564.49303457186,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,2399.66323823964,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,2421.23040524009,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,2291.96758916759,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,2522.73001166122,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,560.050207221513,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,559.538780016677,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,557.321287712882,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,530.18219298864,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,490.303631354432,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,443.904973043629,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,416.003095731018,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,69.2424544503442,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,40.4069482135744,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,89.7135268213804,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,101.997423908597,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,104.816682588489,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,105.1287769668,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,121.094804890265,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,598.438921843085,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,616.622726436996,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,686.995486699625,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,786.118537233274,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,827.582589551624,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,920.277879588698,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,1121.02662813479,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,2600.37741232838,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,2306.93281591457,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,2564.49303457186,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,2337.86240943929,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,2297.53440653247,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,2066.05415294003,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,2172.26826421432,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,560.050207221513,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,559.538780016678,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,557.321287712882,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,488.44666413579,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,436.484823356266,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,377.759204384617,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,344.259135908696,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,69.2424544503442,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,40.4069482135744,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,89.7135268213804,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","ENEA","East and Northeast Asia","2025","2025",,,"9","Billions",,,104.781190483769,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","ENEA","East and Northeast Asia","2030","2030",,,"9","Billions",,,105.26206862308,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","ENEA","East and Northeast Asia","2040","2040",,,"9","Billions",,,96.3450084442601,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","ENEA","East and Northeast Asia","2050","2050",,,"9","Billions",,,96.5013173404442,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,216.879746397793,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,199.437339718465,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,249.633003614163,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,288.061084762073,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,298.403703257404,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,350.214095926688,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2050","2050",,,"9","Billions",,,397.709595428313,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,142.178975413169,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,96.096659828349,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,135.504832350229,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,143.405389876829,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,157.194593656492,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,159.014206356116,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2050","2050",,,"9","Billions",,,147.371482372401,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,298.122239912899,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,305.71496596618,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,298.881291378215,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,322.429781579329,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,357.839143657069,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,385.426597528779,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2050","2050",,,"9","Billions",,,386.880123373892,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,23.1177969239554,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,13.1971254333475,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,30.403975944108,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,34.6866855415731,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,37.3133274746661,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,35.8994217434272,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","LAC","Latin America and the Caribbean","2050","2050",,,"9","Billions",,,32.4388791769876,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,216.879746397793,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,199.437339718465,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,249.633003614163,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,298.178659492614,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,317.20141873991,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,388.346498251253,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","LAC","Latin America and the Caribbean","2050","2050",,,"9","Billions",,,455.558707942923,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,142.178975413169,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,96.096659828349,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,135.504832350229,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,138.815985969035,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,139.882991810115,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,118.579293430058,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","LAC","Latin America and the Caribbean","2050","2050",,,"9","Billions",,,108.112100745171,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,298.122239912899,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,305.71496596618,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,298.881291378215,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,291.612772643038,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,290.023277361995,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,284.525616303391,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","LAC","Latin America and the Caribbean","2050","2050",,,"9","Billions",,,256.930831951182,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","LAC","Latin America and the Caribbean","2019","2019",,,"9","Billions",,,23.1177969239554,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","LAC","Latin America and the Caribbean","2020","2020",,,"9","Billions",,,13.1971254333475,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","LAC","Latin America and the Caribbean","2022","2022",,,"9","Billions",,,30.403975944108,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","LAC","Latin America and the Caribbean","2025","2025",,,"9","Billions",,,36.4778577501709,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","LAC","Latin America and the Caribbean","2030","2030",,,"9","Billions",,,35.3250241432787,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","LAC","Latin America and the Caribbean","2040","2040",,,"9","Billions",,,32.5134258783855,,
