"VARIABLE","Variable","TRANSPORT_MODE","Transport mode","SCENARIO","Scenario","COUNTRY_GROUP","Country group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,364.372176293904,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,381.160415294231,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,424.648102994807,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,456.105973300201,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,462.69422187734,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,519.822977576032,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","CURRENT","Current ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,573.092148420476,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,104.530796262874,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,104.24479713252,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,114.947696923258,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,112.689316497732,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,109.189910215264,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,112.411000600535,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,107.205183641662,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,895.503606263339,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,842.745089492791,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,930.106081241756,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,906.997287298026,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,919.907476777032,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,995.757600845282,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,981.194817473023,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,19.6563308575628,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,11.4868451775434,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,25.712097970878,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,26.8555435330569,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,27.804706002382,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,32.1438722354365,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,35.266894738611,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,364.372176293904,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,381.160415294231,,
"VKM","Vehicle-kilometres","NONMOTOR","Non-motorised vehicles","HIGH","High ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,424.648102994807,,
