Entity,Code,Year,total_embodied_emissions
Australia,AUS,2013,12192554.86616442
Austria,AUT,2013,3021983.6992154843
Belgium,BEL,2013,10827595.569965638
Brazil,BRA,2013,544728101.0654941
Bulgaria,BGR,2013,648120.3216152041
Canada,CAN,2013,12826909.598403618
China,CHN,2013,193166325.22344473
Croatia,HRV,2013,513849.5486005237
Cyprus,CYP,2013,264682.62107078044
Czechia,CZE,2013,2079428.7576216166
Denmark,DNK,2013,2811103.894701377
Estonia,EST,2013,514238.67285108514
Finland,FIN,2013,2147319.2928596423
France,FRA,2013,27036254.81983578
Germany,DEU,2013,41455351.4430302
Greece,GRC,2013,2619590.3625911674
Hungary,HUN,2013,1082710.762075131
India,IND,2013,107245824.30404358
Indonesia,IDN,2013,311921025.9943423
Ireland,IRL,2013,2116771.914636245
Italy,ITA,2013,25605451.076707214
Japan,JPN,2013,48784045.62549379
Latvia,LVA,2013,1450609.0350065818
Lithuania,LTU,2013,612366.7598436683
Luxembourg,LUX,2013,1509413.2400020477
Malta,MLT,2013,136262.28573789782
Mexico,MEX,2013,37766663.211516224
Netherlands,NLD,2013,16052846.573589522
Norway,NOR,2013,3614139.898502182
Poland,POL,2013,5539672.328424648
Portugal,PRT,2013,3226131.5435130326
Romania,ROU,2013,1385504.4070085802
Russia,RUS,2013,42092312.768970184
Slovakia,SVK,2013,1086153.8005586492
Slovenia,SVN,2013,977632.6177216246
South Africa,ZAF,2013,4712631.703046933
South Korea,KOR,2013,21322092.698019877
Spain,ESP,2013,19715214.93022036
Sweden,SWE,2013,3940767.777393938
Switzerland,CHE,2013,5229060.105790095
Taiwan,TWN,2013,25392768.33698484
Turkey,TUR,2013,14288324.681009598
United Kingdom,GBR,2013,25424764.788667556
United States,USA,2013,109646459.51298042
