Country,km travelled by car per annum
Germany,13602
Austria,12626
Spain,10591
France,11960
Portugal,10010
Italy,8891
Netherlands,13060
Europian Union,11298
Australia,"13,400"
United States of America,21687.52
United Kingdon,11909.15
China,11778
Malaysia,"28,184"
South Korea,16023
